fitness,callFunc
1.1920928955078125e-06,42300.0
1.0728836059570312e-06,41400.0
3.933906555175781e-06,39600.0
1.9073486328125e-06,46800.0
1.3113021850585938e-06,42600.0
3.5762786865234375e-06,38400.0
3.814697265625e-06,39000.0
1.6689300537109375e-06,41700.0
1.1920928955078125e-06,46200.0
1.1920928955078125e-06,43800.0
2.0265579223632812e-06,39000.0
1.6689300537109375e-06,38100.0
1.430511474609375e-06,42300.0
1.5497207641601562e-06,36600.0
1.5497207641601562e-06,40200.0
1.0728836059570312e-06,42300.0
1.9073486328125e-06,37500.0
1.6689300537109375e-06,42900.0
1.1920928955078125e-06,35700.0
1.430511474609375e-06,39000.0
1.430511474609375e-06,41700.0
2.1457672119140625e-06,42600.0
1.9073486328125e-06,37800.0
1.6689300537109375e-06,36900.0
1.1920928955078125e-06,43800.0
1.430511474609375e-06,38700.0
1.430511474609375e-06,42900.0
1.3113021850585938e-06,42600.0
1.5497207641601562e-06,40500.0
2.9802322387695312e-06,40200.0
1.7881393432617188e-06,39000.0
6.67572021484375e-06,37800.0
