fitness,callFunc
2.2649765014648438e-06,34200.0
1.1920928955078125e-06,35100.0
1.6689300537109375e-06,35100.0
1.430511474609375e-06,33300.0
1.3113021850585938e-06,33900.0
2.2649765014648438e-06,32100.0
1.6689300537109375e-06,34200.0
1.0728836059570312e-06,35400.0
1.430511474609375e-06,36000.0
1.7881393432617188e-06,34500.0
1.1920928955078125e-06,34500.0
5.7220458984375e-06,35400.0
1.7881393432617188e-06,35100.0
1.9073486328125e-06,33000.0
1.7881393432617188e-06,31200.0
1.0728836059570312e-06,36300.0
1.6689300537109375e-06,34500.0
2.0265579223632812e-06,35100.0
1.7881393432617188e-06,33900.0
1.5497207641601562e-06,32700.0
1.3113021850585938e-06,35100.0
1.430511474609375e-06,34500.0
3.5762786865234375e-06,32400.0
2.2649765014648438e-06,33900.0
1.3113021850585938e-06,35100.0
1.0728836059570312e-06,33900.0
1.7881393432617188e-06,34200.0
1.5497207641601562e-06,32700.0
1.5497207641601562e-06,34800.0
1.430511474609375e-06,36900.0
1.1920928955078125e-06,37800.0
1.430511474609375e-06,34800.0
