fitness,callFunc
1.1920928955078125e-07,97200.0
1.1920928955078125e-07,81900.0
1.1920928955078125e-07,79500.0
2.384185791015625e-07,56700.0
1.1920928955078125e-07,82200.0
1.1920928955078125e-07,89100.0
1.1920928955078125e-07,78900.0
1.1920928955078125e-07,67500.0
1.1920928955078125e-07,78300.0
1.1920928955078125e-07,82500.0
1.1920928955078125e-07,72300.0
1.1920928955078125e-07,72900.0
1.1920928955078125e-07,68100.0
1.1920928955078125e-07,81000.0
1.1920928955078125e-07,76800.0
1.1920928955078125e-07,79500.0
1.1920928955078125e-07,84600.0
1.1920928955078125e-07,90000.0
1.1920928955078125e-07,93300.0
1.1920928955078125e-07,84600.0
1.1920928955078125e-07,64800.0
1.1920928955078125e-07,63300.0
1.1920928955078125e-07,71400.0
1.1920928955078125e-07,72300.0
1.1920928955078125e-07,66900.0
1.1920928955078125e-07,72300.0
1.1920928955078125e-07,66000.0
1.1920928955078125e-07,59700.0
1.1920928955078125e-07,64200.0
1.1920928955078125e-07,70800.0
1.1920928955078125e-07,65400.0
1.1920928955078125e-07,51300.0
