fitness,callFunc
150.000001311302,111600
150.000001549721,108600
150.000001311302,80100
150.000002145767,96000
150.000001430511,119100
150.00000166893,113100
150.000003099442,102900
150.000001430511,111600
150.000001192093,76800
150.000001311302,92700
150.000001072884,99300
150.000002145767,93000
150.000001072884,97800
150.000003695488,111600
150.000001072884,100200
150.000001311302,139800
150.000002503395,96300
150.000001192093,104700
150.000004768372,113700
150.000001072884,105900
150.000001311302,92100
150.000002622604,92700
150.000002861023,92400
150.000001549721,108000
150.000001311302,84300
150.000002264977,93000
150.000001072884,86700
150.000001072884,92400
150.000001192093,94800
150.000002026558,124200
150.000001430511,118800
150.000001192093,102900
,
150.000001370907,
8.70230447594083E-07,
