fitness,callFunc
200.000001311302,162600
200.000001192093,204600
200.000001311302,172200
200.000001072884,213600
200.000001311302,198300
200.000001072884,188700
200.000001192093,198300
200.000001311302,189600
200.000001072884,168600
200.000001430511,154200
200.000001311302,191100
200.000001311302,167100
200.000002622604,171300
200.000002741814,184200
200.000001430511,192900
200.000002264977,208500
200.000001072884,206400
200.000002503395,159000
200.000001072884,169200
200.000001311302,185400
200.000001072884,181200
200.000001788139,165600
200.000001549721,179100
200.00000166893,196200
200.000001549721,184500
200.000001430511,183900
200.000001549721,193200
200.000001549721,178500
200.00000166893,184500
200.000002026558,165900
200.000001072884,175200
200.000001907349,174300
,
200.000001370907,
4.64895892230893E-07,
