fitness,callFunc
5750481.808870835,300000.0
6347676.0296622,300000.0
8691743.316212703,300000.0
12078843.453135613,300000.0
5853631.571482528,300000.0
8364589.210979976,300000.0
7027724.656886969,300000.0
6241974.317806988,300000.0
4513544.493574779,300000.0
4778298.500725062,300000.0
4846113.202242907,300000.0
4733862.678976963,300000.0
8281513.98756959,300000.0
5682654.878323202,300000.0
5536042.182656287,300000.0
9035099.947467254,300000.0
9358876.078988854,300000.0
8856726.736597624,300000.0
5932393.452552356,300000.0
7698910.358570617,300000.0
4379790.938387102,300000.0
8044910.83153304,300000.0
6733241.3347567255,300000.0
6441786.818689559,300000.0
5382232.502732724,300000.0
6042832.153885794,300000.0
9501623.683496885,300000.0
9435944.643465076,300000.0
6052511.574937589,300000.0
5873795.742279334,300000.0
6876560.926050962,300000.0
11726410.80261913,300000.0
