fitness,callFunc
136559918.44751668,300000.0
125430897.35741258,300000.0
238835532.35641378,300000.0
103882259.91476263,300000.0
201693761.49356225,300000.0
168636766.9646346,300000.0
141683033.40816364,300000.0
176042190.25023752,300000.0
149863447.92388904,300000.0
114289570.62772441,300000.0
140125539.06401098,300000.0
120608444.79888436,300000.0
435569211.8028898,300000.0
119788685.67063823,300000.0
119194028.03973597,300000.0
163243766.69703925,300000.0
163065052.05891302,300000.0
204214852.66412616,300000.0
97811243.03445901,300000.0
151055770.2484409,300000.0
111313408.66609691,300000.0
241097871.2810664,300000.0
151161729.1043682,300000.0
190988731.86809462,300000.0
125848918.85602218,300000.0
130043157.13024795,300000.0
218624831.27636692,300000.0
111778324.3468005,300000.0
137565686.64390063,300000.0
184295052.3381274,300000.0
213160577.76634806,300000.0
111419765.934893,300000.0
