fitness,callFunc
1.19209289550781E-07,116100
3.57627868652344E-07,85800
1.19209289550781E-07,128100
1.19209289550781E-07,83400
1.19209289550781E-07,105000
2.38418579101562E-07,92400
1.19209289550781E-07,102600
1.19209289550781E-07,115500
1.19209289550781E-07,95400
1.19209289550781E-07,111000
1.19209289550781E-07,100200
1.19209289550781E-07,90900
1.19209289550781E-07,98400
1.19209289550781E-07,92700
1.19209289550781E-07,117000
1.19209289550781E-07,129300
1.19209289550781E-07,89700
1.19209289550781E-07,107100
4.76837158203125E-07,108900
1.19209289550781E-07,124500
1.19209289550781E-07,94800
1.19209289550781E-07,99000
1.19209289550781E-07,89100
1.19209289550781E-07,103800
1.19209289550781E-07,93300
1.19209289550781E-07,104400
1.19209289550781E-07,103800
1.19209289550781E-07,86100
1.19209289550781E-07,149400
1.19209289550781E-07,83400
1.19209289550781E-07,102300
1.19209289550781E-07,105300
,
1.19209289550781E-07,
7.68250535534545E-08,
