fitness,callFunc
1.3113021850585938e-06,98700.0
1.0728836059570312e-06,96900.0
1.3113021850585938e-06,98700.0
1.430511474609375e-06,96600.0
1.3113021850585938e-06,98100.0
1.1920928955078125e-06,99000.0
1.3113021850585938e-06,96300.0
1.0728836059570312e-06,98100.0
1.3113021850585938e-06,99000.0
1.0728836059570312e-06,96900.0
1.0728836059570312e-06,99300.0
1.3113021850585938e-06,94200.0
1.0728836059570312e-06,99600.0
1.0728836059570312e-06,97500.0
1.1920928955078125e-06,98100.0
1.0728836059570312e-06,96600.0
1.0728836059570312e-06,100500.0
1.0728836059570312e-06,100200.0
1.0728836059570312e-06,99300.0
1.3113021850585938e-06,95100.0
1.6689300537109375e-06,97800.0
1.0728836059570312e-06,99600.0
1.1920928955078125e-06,96600.0
1.0728836059570312e-06,97500.0
1.430511474609375e-06,95700.0
1.0728836059570312e-06,102900.0
1.3113021850585938e-06,98700.0
1.3113021850585938e-06,99300.0
1.3113021850585938e-06,96600.0
1.1920928955078125e-06,100500.0
1.0728836059570312e-06,95100.0
1.6689300537109375e-06,98100.0
