fitness,callFunc
5.960464477539062e-07,102000.0
1.1920928955078125e-07,122400.0
1.1920928955078125e-07,89700.0
1.1920928955078125e-07,82800.0
1.1920928955078125e-07,111900.0
1.1920928955078125e-07,104700.0
1.1920928955078125e-07,109200.0
1.1920928955078125e-07,96000.0
2.384185791015625e-07,119700.0
1.1920928955078125e-07,96300.0
1.1920928955078125e-07,109500.0
1.1920928955078125e-07,123600.0
2.384185791015625e-07,98700.0
1.1920928955078125e-07,124200.0
1.1920928955078125e-07,90000.0
1.1920928955078125e-07,111300.0
1.1920928955078125e-07,127800.0
1.1920928955078125e-07,78300.0
1.1920928955078125e-07,112200.0
1.1920928955078125e-07,93900.0
1.1920928955078125e-07,95400.0
1.1920928955078125e-07,113700.0
2.384185791015625e-07,111900.0
1.1920928955078125e-07,102600.0
1.1920928955078125e-07,101700.0
1.1920928955078125e-07,88200.0
1.1920928955078125e-07,79500.0
1.1920928955078125e-07,90300.0
1.1920928955078125e-07,105600.0
1.1920928955078125e-07,99300.0
4.76837158203125e-07,122400.0
1.1920928955078125e-07,96000.0
