fitness,callFunc
2004091.83568943,300000
1434267.96829677,300000
1377548.14277446,300000
1652404.74809587,300000
1487918.45337594,300000
2597476.9722805,300000
1907708.16182923,300000
2755938.95860398,300000
1221947.93905354,300000
1469683.5192517,300000
1140131.39385319,300000
1296021.62416244,300000
2822525.36014771,300000
946079.023172021,300000
1866141.48943126,300000
1014779.33748209,300000
1447747.92866635,300000
1062319.64598632,300000
1821800.0395081,300000
1572365.31925344,300000
1291488.29876041,300000
1874726.74431074,300000
1471796.00078321,300000
826029.660457015,300000
2462609.2055943,300000
1748609.26812291,300000
1169111.19975555,300000
1142729.08097792,300000
692384.184858799,300000
1447907.49030578,300000
734880.368004918,300000
1337261.89564955,300000
,
1447827.70948607,
548202.88050496,
