fitness,callFunc
122888227.66139106,300000.0
150200667.19785714,300000.0
120830306.40992069,300000.0
142535260.61077026,300000.0
263672708.93997014,300000.0
279645615.3379742,300000.0
188897374.22804272,300000.0
145015746.1752484,300000.0
158820999.9353536,300000.0
145869827.67335093,300000.0
136159373.0141088,300000.0
151878402.07392132,300000.0
147575713.8967009,300000.0
135876098.02039334,300000.0
116357881.96545465,300000.0
116940717.05500259,300000.0
132892444.97510698,300000.0
183719183.37520143,300000.0
175104483.14460543,300000.0
157954823.18968213,300000.0
107814560.13462709,300000.0
176861879.6232165,300000.0
189344631.4549545,300000.0
169016650.9306418,300000.0
116569641.83889967,300000.0
135958483.33000925,300000.0
182798344.14930025,300000.0
106790177.94341543,300000.0
181308926.26154223,300000.0
151064996.86206138,300000.0
131045096.45656231,300000.0
197770069.62072614,300000.0
