fitness,callFunc
148123422.11258623,300000.0
122597703.00205879,300000.0
93586140.27870555,300000.0
150870432.8016997,300000.0
142753841.03723416,300000.0
125754668.14743793,300000.0
89141787.34402856,300000.0
225929068.43523583,300000.0
146467666.2940058,300000.0
162742189.6696611,300000.0
110589405.70869114,300000.0
195347048.3585491,300000.0
112301507.86309606,300000.0
100124878.79901533,300000.0
184091250.19504982,300000.0
87149294.68348926,300000.0
101294932.73288463,300000.0
163617374.21824324,300000.0
124396179.91484007,300000.0
142271649.49412006,300000.0
89246123.89573799,300000.0
143554998.67678988,300000.0
129211570.41628167,300000.0
133779271.17839287,300000.0
141880381.559231,300000.0
101028552.74567133,300000.0
116609848.81351653,300000.0
132711182.47426818,300000.0
129032579.27347985,300000.0
143006178.22229442,300000.0
124100400.93796307,300000.0
125936104.18136115,300000.0
