fitness,callFunc
579.385888338089,300000.0
646.6159873008728,300000.0
638.5595866441727,300000.0
676.2066045999527,300000.0
515.6235228776932,300000.0
843.8858786821365,300000.0
385.6476094722748,300000.0
508.2257682085037,300000.0
439.5255637168884,300000.0
476.26010751724243,300000.0
495.6989520788193,300000.0
590.6263601779938,300000.0
556.121802687645,300000.0
779.3649199008942,300000.0
617.1041556596756,300000.0
728.2211203575134,300000.0
552.2687574625015,300000.0
468.6467146873474,300000.0
571.3297650814056,300000.0
796.9145654439926,300000.0
574.8426381349564,300000.0
615.4351825714111,300000.0
446.76797437667847,300000.0
504.79695069789886,300000.0
467.8262870311737,300000.0
449.2606599330902,300000.0
604.4598461389542,300000.0
476.384260058403,300000.0
427.03437054157257,300000.0
662.8782966136932,300000.0
662.0690184831619,300000.0
437.3556249141693,300000.0
