fitness,callFunc
1.1920928955078125e-06,34200.0
2.384185791015625e-06,31500.0
1.7881393432617188e-06,30300.0
1.3113021850585938e-06,33000.0
1.7881393432617188e-06,31500.0
1.1920928955078125e-06,29700.0
1.430511474609375e-06,32400.0
1.1920928955078125e-06,33000.0
1.5497207641601562e-06,27300.0
2.1457672119140625e-06,26400.0
2.0265579223632812e-06,31500.0
1.6689300537109375e-06,31800.0
1.0728836059570312e-06,30900.0
2.0265579223632812e-06,35100.0
1.3113021850585938e-06,34800.0
1.1920928955078125e-06,31800.0
1.1920928955078125e-06,30900.0
1.3113021850585938e-06,31800.0
1.0728836059570312e-06,32100.0
1.9073486328125e-06,34500.0
1.0728836059570312e-06,33300.0
1.6689300537109375e-06,34200.0
1.1920928955078125e-06,32400.0
1.3113021850585938e-06,33600.0
1.0728836059570312e-06,28800.0
1.3113021850585938e-06,29700.0
2.0265579223632812e-06,33300.0
2.384185791015625e-06,31500.0
3.6954879760742188e-06,30300.0
2.7418136596679688e-06,30000.0
1.7881393432617188e-06,29700.0
1.1920928955078125e-06,34500.0
