fitness,callFunc
537.250338161495,300000
527.606216272499,300000
544.048692953307,300000
527.539466605944,300000
525.087205277043,300000
523.656831462897,300000
526.127837530075,300000
516.258455480071,300000
530.569335511333,300000
538.683682367308,300000
527.346018993645,300000
524.630447589283,300000
526.128942611365,300000
521.876587273349,300000
525.701603269423,300000
537.69885970121,300000
533.474486303938,300000
525.19082750527,300000
534.158375989689,300000
528.19949950937,300000
530.530120040421,300000
536.29971348145,300000
532.065000430346,300000
531.196795496187,300000
509.73654635367,300000
529.602698541567,300000
534.485568555814,300000
511.322666444292,300000
515.230635805841,300000
525.727483552357,300000
527.992888912282,300000
539.966518709858,300000
,
527.799552592391,
7.88613170882661,
