fitness,callFunc
209789881.98208,300000
136220904.821436,300000
195979047.278148,300000
175190028.952849,300000
76754276.7182046,300000
171900511.989865,300000
341211697.2849,300000
93664345.1453022,300000
88567015.668129,300000
124624344.84345,300000
197006529.255461,300000
130363830.925759,300000
79627097.2662405,300000
245583621.397565,300000
158384871.294671,300000
275856252.7533,300000
60655899.5854319,300000
250674250.221959,300000
173986702.804465,300000
266253952.134809,300000
113528308.390035,300000
222806938.471074,300000
181166032.200938,300000
147969089.630136,300000
110742747.695892,300000
60820931.9930011,300000
82775045.7827612,300000
179631535.889422,300000
130067394.900545,300000
269300982.650657,300000
155714080.567717,300000
99818224.5795596,300000
,
157049475.931194,
70898533.2497485,
