fitness,callFunc
1.1920928955078125e-07,147000.0
1.1920928955078125e-07,129000.0
1.1920928955078125e-07,123900.0
1.1920928955078125e-07,120000.0
1.1920928955078125e-07,134100.0
1.1920928955078125e-07,123300.0
1.1920928955078125e-07,108600.0
1.1920928955078125e-07,115500.0
1.1920928955078125e-07,137400.0
1.1920928955078125e-07,163200.0
1.1920928955078125e-07,123000.0
1.1920928955078125e-07,104700.0
1.1920928955078125e-07,131700.0
1.1920928955078125e-07,152400.0
1.1920928955078125e-07,126300.0
1.1920928955078125e-07,128400.0
1.1920928955078125e-07,131700.0
1.1920928955078125e-07,110400.0
1.1920928955078125e-07,135300.0
1.1920928955078125e-07,114000.0
1.1920928955078125e-07,139800.0
1.1920928955078125e-07,173700.0
1.1920928955078125e-07,108600.0
1.1920928955078125e-07,140700.0
1.1920928955078125e-07,111300.0
1.1920928955078125e-07,126300.0
1.1920928955078125e-07,120600.0
1.1920928955078125e-07,142500.0
1.1920928955078125e-07,133800.0
1.1920928955078125e-07,118500.0
1.1920928955078125e-07,120000.0
1.1920928955078125e-07,130800.0
