fitness,callFunc
5415784.46742535,300000
5187750.73307729,300000
4851437.05677724,300000
3629549.20211816,300000
5248062.47024238,300000
5437149.65567648,300000
4201189.35016394,300000
4827149.2095139,300000
5206450.48475206,300000
4610351.82981598,300000
5357715.34826243,300000
4703773.20539188,300000
4818506.97131789,300000
4675586.05447078,300000
5512156.94999373,300000
5276834.30667126,300000
5583414.49242473,300000
4570292.51716983,300000
4979050.15749943,300000
5021149.28746426,300000
5356003.30503035,300000
4442564.81633008,300000
4791790.05942822,300000
5091076.49831605,300000
4854027.00561667,300000
4997655.86393452,300000
5124874.32799745,300000
5612302.5245651,300000
5582625.48228252,300000
5637815.79954493,300000
4552464.12084198,300000
5059299.02669072,300000
,
5040224.15707749,
450508.165852607,
