fitness,callFunc
150.000001072884,65700
150.00000166893,53700
150.000002741814,61800
150.000001192093,50700
150.000001072884,69900
150.000001192093,70200
150.000001549721,62100
150.000001311302,57000
150.000001430511,64200
150.000002861023,48000
150.000001311302,61200
150.000005602837,60900
150.000001430511,63600
150.000003099442,58800
150.000001549721,53400
150.000001072884,67800
150.00000166893,57600
150.000001072884,57600
150.000001311302,58800
150.000001430511,58200
150.000001430511,55800
150.000001192093,55500
150.000001788139,52200
150.000002026558,70200
150.000001430511,56400
150.000004172325,50700
150.000001311302,55800
150.000002145767,66300
150.000001311302,58200
150.000001072884,64500
150.000002741814,51900
150.000001430511,51600
,
150.000001430511,
9.96341790781203E-07,
